src_id,dst_id,wire_cap_ff,wire_length_um
57,38,34.73,140.46
57,80,37.35,223.26
57,25,26.72,236.27
57,31,20.61,219.72
58,60,68.75,410.75
58,0,1.01,6.8
59,60,58.27,301.39
59,18,19.88,167.73
59,63,20.57,168.48
59,0,89.68,466.96
59,41,28.9,263.18
60,67,15.12,73.16
60,24,14.54,77.78
60,69,80.17,460.79
61,33,27.13,268.97
61,7,91.46,389.18
61,58,11.12,100.01
62,51,26.44,201.35
62,4,27.3,239.87
62,33,40.16,205.9
63,88,31.01,190.89
63,34,98.95,494.08
63,35,44.74,220.35
64,17,57.83,473.15
64,11,15.86,165.84
64,82,30.33,372.95
65,30,96.31,442.29
65,36,7.25,62.4
65,47,19.06,181.44
65,79,113.52,455.53
65,44,14.42,126.8
65,35,2.95,12.25
66,79,58.42,239.3
66,62,2.76,18.21
66,39,80.13,358.77
66,21,65.53,299.76
67,48,29.88,251.73
67,30,30.66,282.49
67,56,29.11,248.56
67,71,33.48,395.92
68,11,39.42,332.06
68,70,42.33,371.95
69,54,96.03,389.6
69,59,6.84,49.27
69,89,7.59,63.42
69,55,15.04,107.49
69,75,15.27,95.05
70,13,38.97,398.79
70,15,11.13,132.31
70,2,39.74,265.26
70,23,6.19,28.1
70,35,57.02,257.02
71,88,31.93,227.16
71,73,23.68,136.36
71,13,5.06,24.77
71,89,59.81,492.77
71,90,4.25,49.36
71,56,1.67,17.97
72,53,19.72,216.68
72,11,49.87,472.85
72,92,23.07,254.51
72,74,39.24,324.93
72,56,43.36,232.18
72,22,62.33,453.19
73,90,17.63,184.07
73,82,20.26,127.36
73,88,53.38,242.71
74,84,86.55,427.7
74,53,74.64,450.48
74,8,16.78,78.97
75,42,42.71,356.48
75,20,18.77,192.96
75,33,34.84,259.3
75,74,64.06,391.1
75,55,65.41,316.85
76,24,37.69,346.9
76,77,26.82,217.35
76,23,50.96,254.65
76,87,17.3,192.48
76,64,36.19,244.54
76,83,60.7,258.46
77,3,50.21,477.24
77,74,41.12,303.6
77,38,18.47,190.63
77,11,114.04,481.77
77,36,53.4,235.82
78,36,75.38,498.03
78,3,73.38,373.08
78,89,70.41,389.29
78,66,50.83,271.75
79,61,30.64,127.99
79,88,1.39,6.07
79,20,18.09,91.91
80,69,32.07,210.43
80,72,14.63,167.84
80,22,35.72,262.24
80,32,12.97,82.88
80,23,55.05,322.25
80,42,45.62,327.58
81,72,93.76,423.34
81,52,69.35,455.64
81,42,34.63,297.79
81,74,38.13,166.34
82,19,18.13,181.49
82,5,62.85,304.29
82,9,28.29,290.95
82,43,84.78,491.67
82,35,68.82,293.25
82,90,13.69,114.34
83,82,2.42,24.02
83,21,5.54,26.95
83,7,37.56,250.2
83,45,24.94,208.78
83,62,11.11,64.93
83,52,70.9,288.84
84,6,40.07,171.35
84,14,67.25,403.34
84,76,108.02,447.87
84,50,9.28,84.95
84,1,78.36,473.8
85,33,83.41,337.14
85,75,6.62,79.1
85,54,13.48,159.68
86,35,46.33,202.82
86,83,80.75,420.93
86,81,45.88,240.92
86,74,67.83,451.34
86,57,58.64,244.03
87,52,11.06,46.22
87,86,13.38,65.91
87,4,8.31,41.45
87,23,20.74,131.09
88,83,39.06,403.16
88,85,33.39,151.21
88,76,64.81,310.85
88,68,51.67,370.38
88,52,5.92,31.9
88,62,20.31,83.35
89,20,76.18,314.99
89,46,25.09,174.93
89,58,67.81,481.96
89,40,57.93,367.59
89,87,26.97,171.53
90,51,76.09,364.4
90,65,29.14,123.24
90,27,42.8,275.44
90,63,50.27,290.53
91,61,68.72,418.21
91,44,109.33,459.03
91,79,40.39,291.04
91,11,38.76,303.28
92,86,42.39,221.87
92,67,25.44,111.88
92,81,30.67,233.56
92,61,46.34,274.5
92,4,28.28,336.35
92,49,40.17,375.6
93,52,32.71,350.85
93,19,5.6,36.16
93,45,62.88,313.04
93,40,60.77,362.54
93,44,4.03,22.9
94,10,1.81,13.61
94,45,17.94,83.67
94,82,62.73,462.38
95,22,49.6,307.57
95,87,15.58,122.36
