src_id,dst_id,wire_cap_ff,wire_length_um,routing_layer,resistance_ohm,coupling_cap_ff
195,129,2.54,87.2,M2,32.53,0.676
35,31,4.26,44.5,M4,38.58,0.023
213,207,2.42,29.4,M2,4.72,0.751
193,106,1.87,66.8,M2,37.78,1.064
201,58,0.78,43.5,M4,44.95,1.904
132,203,3.44,94.4,M4,7.71,0.03
206,132,4.72,9.4,M3,20.38,1.547
111,15,2.03,4.7,M2,45.17,0.125
161,182,4.02,87.7,M3,21.26,1.773
179,141,4.38,72.4,M3,45.51,0.026
71,230,2.69,92.1,M4,22.59,0.418
139,159,3.96,65.6,M3,44.44,1.565
103,198,1.07,30.9,M1,27.1,0.786
184,189,4.41,52.5,M5,14.55,0.195
141,79,2.65,75.9,M2,1.66,1.782
138,151,1.37,83.4,M3,36.46,1.974
28,187,0.39,37.9,M5,18.05,0.105
166,240,0.71,30.5,M1,22.93,1.966
206,190,4.95,57.0,M5,42.3,0.475
76,72,3.37,81.7,M5,33.79,1.432
133,188,1.31,33.5,M5,10.03,1.559
116,25,0.82,43.1,M4,4.56,0.134
227,33,2.43,45.2,M3,34.0,0.811
143,132,3.92,87.3,M5,25.19,0.853
112,176,4.66,49.5,M4,41.28,0.297
32,124,3.58,13.8,M5,43.23,0.245
54,116,2.42,74.9,M5,18.78,1.904
154,218,2.1,13.0,M5,14.83,1.05
30,95,1.59,38.1,M3,24.55,1.584
36,200,2.99,5.8,M3,44.51,0.439
209,189,2.5,13.1,M3,3.84,0.099
123,146,1.62,45.8,M3,39.18,0.956
184,213,3.07,76.4,M5,32.0,1.526
170,114,0.83,73.1,M1,40.09,1.332
104,99,1.24,40.1,M5,2.77,1.344
113,188,1.46,9.8,M2,35.51,1.148
203,197,3.57,56.5,M1,32.37,0.179
244,158,2.75,76.0,M5,26.33,1.504
128,229,0.19,66.2,M5,9.4,0.048
201,52,1.3,70.9,M5,22.49,1.616
155,82,2.07,5.5,M1,17.33,0.369
6,220,2.69,38.8,M1,6.17,0.208
43,73,0.81,26.3,M1,8.13,1.905
173,43,0.39,96.2,M2,1.84,0.126
99,25,1.67,41.9,M3,13.27,1.884
230,30,0.35,24.7,M5,29.51,0.991
192,129,1.99,12.4,M1,16.26,1.111
16,123,0.24,63.7,M1,13.82,1.927
172,25,1.31,55.9,M2,15.58,0.819
21,216,3.22,21.1,M2,18.98,1.971
200,62,2.73,43.0,M5,22.86,0.012
118,246,4.16,29.6,M2,0.53,1.868
123,69,3.03,84.1,M4,49.96,1.686
54,149,4.22,28.8,M2,37.09,1.131
76,22,2.04,13.2,M2,36.39,1.998
224,110,1.13,51.0,M3,44.25,1.891
162,66,4.9,71.1,M3,12.67,1.966
87,53,2.35,60.4,M1,45.74,0.276
236,0,3.08,1.4,M1,33.8,0.832
229,178,3.55,76.5,M5,4.52,1.755
166,19,2.74,89.4,M4,33.78,0.712
208,96,4.15,36.4,M2,42.04,1.626
2,31,2.37,93.7,M4,0.96,1.489
194,71,3.43,71.2,M2,4.95,1.231
77,206,3.62,24.2,M4,48.38,0.083
126,231,3.55,61.0,M1,10.21,1.644
101,28,4.36,57.3,M4,8.94,0.396
189,144,3.39,60.7,M2,3.74,0.265
16,32,1.37,57.4,M2,44.11,1.461
70,49,4.25,3.3,M5,30.92,1.365
226,116,0.11,43.3,M1,42.77,0.653
216,104,1.44,68.3,M4,25.03,1.039
11,226,3.63,5.6,M4,26.85,0.639
100,49,1.74,88.1,M1,49.52,0.459
176,108,4.79,91.8,M2,8.64,0.629
160,24,0.24,43.8,M1,29.83,1.256
85,215,1.33,11.7,M2,47.96,1.667
210,85,2.65,24.4,M1,38.9,1.243
195,24,3.16,58.3,M1,48.74,1.834
96,80,4.46,69.6,M2,3.57,1.607
14,77,3.09,43.8,M1,34.04,1.123
75,217,1.97,10.5,M4,12.04,1.203
168,159,0.15,39.0,M4,44.06,1.242
86,166,4.69,78.5,M4,26.1,1.18
27,26,0.16,71.6,M5,39.58,0.395
146,32,3.22,26.4,M4,24.33,1.245
47,62,0.77,5.4,M2,15.93,0.877
245,166,3.8,31.8,M5,38.89,0.303
79,154,1.78,37.5,M1,26.13,1.319
37,14,1.26,82.1,M5,43.01,0.85
50,249,1.08,90.9,M1,17.41,1.339
177,119,3.04,33.8,M5,28.52,0.678
76,107,1.71,11.4,M1,25.05,1.841
163,57,3.5,47.2,M2,12.33,1.472
243,208,1.72,74.3,M2,20.32,1.654
1,92,0.15,36.4,M5,6.2,0.588
49,161,2.97,76.8,M1,48.78,0.406
72,44,1.17,26.9,M2,17.32,1.113
45,50,0.21,84.4,M1,1.54,1.358
97,167,3.96,12.0,M2,15.6,0.488
207,95,3.34,94.2,M5,44.14,1.758
16,30,0.81,92.5,M2,9.99,0.763
95,81,3.04,97.7,M2,46.09,1.529
150,48,4.29,30.1,M2,16.72,0.116
203,71,4.38,85.3,M5,44.35,0.426
20,200,2.41,66.7,M1,8.79,0.782
225,165,3.78,38.1,M5,23.48,0.65
95,134,3.5,71.8,M4,23.95,1.167
163,235,3.97,65.3,M2,11.37,0.414
220,60,2.04,31.3,M4,28.78,1.872
95,65,2.8,14.3,M1,15.1,1.042
58,149,0.3,51.7,M3,21.59,0.94
104,94,4.04,32.4,M4,1.72,0.889
67,165,0.47,90.2,M3,42.21,1.03
164,20,3.95,92.7,M1,6.37,0.727
139,51,1.74,67.8,M3,15.48,1.633
174,216,1.44,70.9,M2,49.92,1.507
189,139,4.57,1.8,M3,14.45,0.7
103,242,2.09,58.4,M1,23.86,1.03
194,243,0.83,40.4,M2,36.31,0.428
59,132,2.98,55.7,M4,36.26,0.928
202,21,1.63,19.6,M4,10.87,0.905
142,7,1.94,58.2,M2,15.63,1.478
127,207,3.33,36.1,M2,21.25,1.375
103,195,3.92,54.2,M3,29.55,1.139
8,236,0.78,97.7,M3,28.63,1.6
233,155,2.91,39.7,M4,10.61,0.787
136,98,1.02,11.8,M5,48.12,1.282
77,23,0.94,67.8,M2,2.09,1.381
125,6,1.01,7.9,M4,14.55,0.474
168,134,0.44,6.7,M5,1.05,0.66
232,105,2.02,99.0,M2,27.05,0.962
17,99,4.78,86.7,M2,43.59,0.626
209,181,3.36,16.7,M5,46.99,1.179
128,183,3.46,28.3,M1,49.56,0.897
211,102,3.06,25.4,M3,45.56,1.76
117,118,2.92,74.0,M3,32.49,1.839
88,179,4.23,79.4,M4,30.84,1.622
44,106,1.32,90.1,M4,23.16,1.823
46,178,2.89,40.0,M1,12.36,1.742
70,225,3.18,29.9,M1,35.05,1.448
55,232,2.52,99.2,M5,6.5,0.744
193,26,2.57,78.2,M4,22.82,0.513
129,11,2.36,8.2,M4,19.37,1.494
219,49,2.04,2.1,M1,35.6,0.282
171,191,2.37,46.7,M1,27.65,0.492
243,112,0.79,82.2,M2,8.94,0.046
25,45,1.54,53.9,M4,8.84,1.346
2,173,1.44,44.6,M2,11.23,0.079
172,136,1.16,70.0,M5,32.23,1.436
229,26,2.01,31.5,M1,30.11,0.107
96,196,1.09,25.7,M2,10.4,0.042
7,3,1.75,20.0,M1,11.42,1.766
204,213,4.17,17.6,M2,2.68,1.03
208,83,1.68,63.1,M5,10.75,1.088
240,109,0.69,22.2,M3,16.51,0.04
167,80,0.16,22.1,M2,3.77,1.632
166,159,1.91,7.7,M2,20.85,1.537
127,26,3.59,79.3,M5,8.99,1.918
153,83,4.91,69.9,M2,16.94,1.274
226,176,1.66,85.3,M4,3.84,0.045
233,149,2.3,51.6,M2,25.42,1.412
3,59,0.2,76.1,M1,15.79,1.478
193,62,3.14,6.9,M3,25.19,0.412
96,52,3.25,24.6,M5,49.43,0.893
224,84,0.76,32.4,M1,26.28,1.955
165,208,1.51,3.3,M3,17.47,0.42
13,232,4.6,98.8,M2,30.6,0.769
82,46,2.27,1.6,M4,3.96,0.393
162,36,4.7,13.4,M2,29.84,1.664
238,52,1.26,8.7,M4,15.92,1.446
62,108,0.96,25.6,M3,29.03,1.936
51,69,4.33,48.6,M3,20.21,0.344
112,108,2.58,73.8,M2,41.07,1.589
5,195,1.97,85.6,M3,29.96,0.314
186,44,1.36,46.9,M4,14.52,1.129
123,18,1.73,71.8,M2,8.16,0.387
3,220,2.55,72.8,M4,20.53,0.837
101,248,3.74,39.0,M3,32.23,1.181
104,226,0.29,92.2,M4,46.64,0.333
195,111,4.79,77.4,M3,25.73,0.982
176,94,3.51,65.4,M4,36.92,0.492
8,235,4.08,63.5,M1,35.02,1.294
66,154,2.33,68.4,M3,12.75,1.161
169,215,0.89,12.6,M1,32.4,1.835
101,180,2.97,90.2,M5,45.54,1.753
42,212,2.19,69.5,M5,48.4,1.32
97,150,1.61,41.7,M1,5.91,1.149
204,88,4.09,27.6,M2,46.54,0.802
78,1,4.94,81.8,M1,5.3,1.55
106,134,2.14,29.5,M4,8.95,0.756
180,34,1.07,19.0,M1,22.81,1.631
47,51,0.39,19.1,M2,13.34,1.806
104,112,3.17,62.8,M2,4.45,0.181
31,70,0.41,3.9,M2,24.16,1.349
25,2,0.4,75.4,M1,33.43,1.581
10,24,1.13,79.4,M4,30.35,1.974
194,68,4.67,47.8,M3,30.42,0.68
174,227,1.78,32.2,M2,47.08,1.334
96,156,0.38,36.2,M3,40.41,0.016
222,178,2.07,83.7,M2,1.77,0.255
135,71,4.76,75.4,M2,18.74,1.241
168,222,2.43,41.9,M2,0.65,1.28
241,208,1.68,63.7,M1,48.5,1.474
173,113,1.24,49.0,M5,39.8,0.703
240,238,4.71,48.1,M1,36.85,0.595
49,182,0.8,52.5,M5,39.35,1.436
8,32,2.54,9.6,M5,49.37,0.939
229,114,4.78,48.7,M5,12.42,0.431
192,241,3.33,9.9,M4,49.67,0.068
237,83,4.52,76.9,M2,36.1,1.335
243,229,3.39,66.9,M5,31.86,0.989
203,177,1.73,23.2,M5,38.43,1.205
164,87,1.95,72.0,M4,32.87,1.572
247,219,2.24,24.1,M3,6.23,0.184
22,87,3.73,93.8,M1,28.86,0.264
80,244,1.96,74.0,M3,3.56,1.076
216,99,4.9,32.6,M3,39.98,1.869
32,133,3.35,59.5,M1,20.07,1.081
117,80,0.81,94.3,M2,25.24,0.917
153,72,0.81,66.9,M1,30.14,0.625
176,31,1.44,84.9,M5,24.17,1.659
126,74,3.55,38.3,M3,8.06,1.436
217,187,4.68,23.3,M1,46.2,1.554
219,124,3.66,30.6,M2,49.56,1.1
86,108,3.42,99.0,M4,19.86,1.06
72,178,4.62,70.4,M5,19.99,0.27
192,202,2.94,80.7,M3,23.15,0.336
35,113,3.51,29.8,M2,10.88,1.611
50,188,3.29,36.9,M5,5.55,1.573
219,37,1.95,98.3,M2,46.34,0.201
249,121,0.98,6.2,M5,32.68,1.191
248,38,3.17,41.0,M1,6.38,0.799
77,176,3.02,18.1,M4,38.9,1.982
171,168,0.54,46.9,M4,14.12,1.31
94,2,0.69,9.2,M4,32.25,1.818
57,5,2.98,98.7,M4,14.05,1.493
203,151,0.99,48.9,M4,15.27,0.259
83,16,3.6,86.4,M5,9.65,1.628
5,100,2.82,54.1,M5,24.68,1.043
149,137,3.6,79.2,M1,37.8,0.423
168,229,0.67,86.3,M2,0.76,0.9
80,31,0.29,57.9,M2,4.85,0.521
192,8,0.51,13.3,M3,18.5,1.093
108,241,3.32,25.6,M1,47.34,1.044
200,75,3.33,45.0,M5,24.78,0.633
233,90,3.07,51.5,M1,33.3,0.099
9,48,0.79,85.8,M2,47.89,1.208
55,151,1.86,13.7,M5,21.39,1.104
66,97,3.28,17.2,M4,4.62,0.516
108,240,3.5,54.1,M1,31.66,0.546
162,178,3.26,71.7,M5,33.04,1.643
154,41,2.16,16.2,M4,19.26,1.928
63,19,1.42,53.6,M5,20.64,0.665
22,92,4.56,78.0,M2,43.51,0.459
2,25,1.95,96.9,M4,47.61,1.568
31,44,2.68,87.7,M5,41.16,0.984
135,89,3.53,86.7,M5,13.92,0.207
12,43,1.66,75.4,M2,17.59,1.485
247,201,2.71,59.9,M4,24.1,0.264
2,175,2.62,16.4,M2,7.56,1.139
68,13,4.6,64.3,M3,35.52,0.506
155,107,3.56,19.1,M3,40.02,1.009
70,243,2.2,94.2,M2,15.61,1.717
242,78,2.09,32.0,M1,31.92,0.163
61,241,0.56,58.0,M1,37.3,1.113
126,206,4.38,96.3,M4,34.01,1.866
34,122,2.54,68.8,M5,35.05,0.817
157,48,4.56,74.8,M4,35.28,1.502
62,189,3.34,92.1,M5,34.36,0.094
114,246,0.93,93.1,M5,45.24,0.358
93,214,0.75,36.0,M1,21.42,0.764
95,248,0.65,91.5,M2,41.67,1.703
219,30,1.52,48.8,M3,11.05,1.479
145,100,1.17,31.2,M5,41.37,0.081
118,228,3.13,49.3,M3,0.79,0.926
76,90,0.63,35.6,M2,20.4,0.028
110,125,1.07,53.4,M2,20.83,1.827
1,39,3.87,25.8,M4,20.07,0.606
109,228,0.99,81.3,M1,49.47,1.316
112,41,0.79,75.0,M1,18.28,1.742
50,28,1.03,5.0,M4,21.34,0.669
8,41,3.36,94.9,M3,6.38,0.983
126,204,3.44,13.6,M4,25.34,1.848
215,211,2.01,11.9,M1,39.74,0.261
88,128,0.17,68.8,M1,34.08,0.691
249,152,3.71,44.0,M3,14.47,0.174
109,63,3.13,73.2,M2,12.85,1.536
221,67,4.97,25.5,M4,10.32,1.416
207,26,3.54,50.7,M2,9.84,1.711
161,162,0.83,12.9,M4,2.4,1.981
237,37,2.19,62.0,M1,43.29,0.767
134,78,3.53,98.0,M2,17.14,0.964
130,109,3.25,31.1,M3,18.5,1.887
182,107,1.31,89.6,M2,2.52,0.114
190,82,1.14,47.7,M5,5.49,0.378
242,125,1.88,31.1,M1,33.61,1.369
197,220,0.74,36.7,M3,37.28,1.182
154,95,1.27,28.3,M5,19.51,1.776
33,161,3.74,12.9,M5,48.43,1.769
209,48,1.05,45.1,M1,4.21,1.098
87,77,3.65,99.0,M2,26.91,0.316
32,49,2.15,71.4,M5,48.77,1.791
114,161,3.61,91.2,M1,24.4,1.052
243,128,3.98,17.5,M3,34.99,0.267
11,244,2.87,79.6,M2,37.17,0.801
175,136,4.36,97.2,M2,22.17,1.023
143,199,2.01,61.1,M2,9.61,0.328
55,151,3.51,88.0,M5,23.04,1.418
134,66,1.59,22.8,M3,27.83,0.351
11,136,1.27,4.9,M2,47.13,0.563
34,69,4.38,6.1,M2,49.48,0.428
29,0,3.28,63.6,M3,16.57,1.893
226,140,1.39,14.2,M5,15.1,1.971
160,208,0.15,36.2,M3,9.25,1.943
137,168,4.9,78.0,M5,5.77,1.494
97,242,3.3,87.1,M5,27.77,1.636
56,83,1.42,58.6,M4,8.2,0.471
185,111,1.91,90.3,M1,25.05,0.924
208,220,0.96,57.4,M2,32.55,0.052
41,226,0.97,40.0,M5,9.8,0.296
109,62,2.33,64.9,M4,5.46,1.058
186,192,4.06,60.7,M4,19.51,0.229
3,195,4.17,93.5,M2,12.79,0.176
36,240,3.17,2.3,M1,47.9,0.222
188,209,1.76,71.0,M2,7.39,1.522
228,113,4.1,31.4,M4,8.15,0.121
177,68,3.17,13.2,M1,5.59,0.601
130,226,4.2,15.0,M2,1.69,0.86
37,90,3.31,23.4,M4,34.49,1.433
230,28,2.51,99.1,M2,5.54,1.912
91,19,3.12,12.7,M1,44.83,1.213
45,109,2.7,60.4,M4,7.94,1.338
77,159,4.11,35.5,M1,13.92,1.004
94,238,1.4,90.8,M1,39.55,1.725
38,199,3.31,32.7,M4,22.61,1.596
249,122,4.09,12.2,M4,48.0,0.564
23,82,4.97,19.0,M4,17.95,0.993
123,177,4.87,60.6,M3,7.34,1.889
235,62,1.98,55.4,M5,26.92,1.07
210,58,1.98,58.5,M4,26.58,1.555
207,191,1.17,9.6,M3,0.64,1.988
4,92,2.84,95.8,M1,3.45,0.705
217,221,3.92,14.8,M4,7.63,1.708
248,238,4.57,25.0,M2,3.27,0.284
246,178,3.55,38.4,M1,34.96,0.855
13,179,0.62,58.6,M4,41.95,1.742
7,37,1.89,8.8,M1,1.12,1.664
106,38,3.85,47.5,M2,37.53,1.4
76,120,2.12,34.4,M1,14.7,0.32
225,164,0.26,75.4,M5,8.44,0.799
108,174,4.75,46.0,M3,46.0,1.009
181,58,2.18,16.5,M1,26.31,1.956
32,190,1.14,62.3,M2,19.92,1.647
249,143,3.06,8.6,M4,24.13,1.309
103,211,1.96,6.4,M3,32.51,0.398
27,26,0.48,60.7,M3,1.89,0.572
138,27,0.42,60.1,M3,9.79,0.411
237,8,1.28,9.4,M5,28.46,1.132
202,123,0.32,32.1,M3,0.92,0.72
72,245,2.05,20.3,M4,36.42,1.948
179,172,0.58,41.3,M5,5.5,1.617
38,6,2.98,38.8,M5,43.51,0.084
41,38,3.44,8.8,M1,47.66,0.471
55,206,3.44,14.9,M2,49.67,1.008
186,155,3.29,93.1,M3,22.65,0.271
74,92,3.16,94.1,M1,44.59,1.551
99,61,1.12,61.4,M1,47.92,1.138
127,24,4.04,15.1,M3,27.58,1.938
200,229,0.53,10.3,M3,8.9,0.598
17,71,2.92,36.0,M1,9.37,1.546
66,121,4.89,76.6,M4,32.69,0.289
31,248,2.89,4.9,M3,20.35,1.715
234,174,0.73,37.3,M5,47.63,0.754
174,105,2.58,27.0,M1,31.22,1.291
189,202,1.3,82.3,M1,8.15,0.22
96,40,2.89,85.5,M2,19.72,0.93
23,89,2.38,64.6,M4,5.9,0.369
27,234,4.8,40.3,M4,10.37,0.664
81,87,4.98,49.1,M4,6.16,0.915
139,39,4.75,15.4,M2,16.35,0.072
153,198,1.96,93.7,M3,39.58,1.957
54,13,1.14,3.3,M4,13.86,1.275
21,36,0.44,41.1,M3,43.75,0.908
107,134,1.15,89.4,M2,41.61,0.194
230,109,1.78,75.6,M2,10.33,1.884
123,121,2.72,78.6,M4,18.06,1.389
99,210,0.15,78.5,M5,10.33,1.448
148,157,0.81,66.7,M3,1.2,1.794
239,37,2.55,32.3,M4,13.51,1.447
115,241,4.18,13.4,M4,32.13,1.161
9,55,3.75,19.6,M5,38.83,1.206
55,89,1.13,19.9,M5,47.78,0.747
93,4,1.58,31.4,M1,35.12,1.301
116,105,2.11,35.9,M5,21.58,1.948
85,29,4.64,46.4,M3,9.26,1.194
138,111,1.97,84.7,M4,31.89,1.407
240,236,4.54,10.8,M1,40.39,0.217
166,4,3.12,41.7,M4,37.62,1.251
139,25,3.2,50.8,M1,33.55,1.705
54,57,3.91,55.6,M1,10.18,0.944
31,89,4.84,91.5,M4,45.45,1.293
200,189,2.04,94.0,M2,25.62,0.543
168,67,1.61,90.4,M4,33.83,0.018
232,106,0.26,3.6,M3,42.12,1.043
189,153,1.66,17.9,M5,49.65,0.491
249,100,1.04,64.8,M1,40.17,1.16
32,240,3.22,97.8,M2,20.45,0.643
40,111,1.23,71.3,M2,25.46,1.267
200,100,4.23,63.1,M3,41.95,0.327
82,52,0.56,3.5,M1,31.63,1.191
7,158,3.57,92.1,M1,28.8,0.06
187,33,4.92,63.8,M3,9.73,1.309
56,76,1.05,84.2,M4,38.63,1.322
70,21,4.68,63.1,M5,43.41,0.231
237,152,0.7,15.0,M3,44.78,0.195
126,216,1.87,84.0,M4,5.48,1.593
105,18,2.48,62.9,M2,34.52,0.757
80,162,4.55,81.0,M2,15.29,1.808
168,145,3.19,85.6,M1,48.81,1.988
123,157,3.04,1.5,M5,37.21,1.854
49,155,0.24,3.3,M5,38.17,0.44
93,29,4.5,3.9,M2,11.38,1.458
240,32,1.41,48.7,M1,17.75,1.107
75,119,3.75,50.1,M5,47.34,1.845
64,44,1.07,84.8,M3,48.11,0.215
203,196,2.98,17.4,M2,47.71,0.981
226,114,2.18,75.0,M3,31.33,1.219
109,51,2.88,38.0,M1,22.75,1.78
245,130,1.34,41.6,M5,41.42,1.294
247,135,1.83,4.0,M2,40.55,0.864
47,91,1.3,22.3,M3,18.91,1.561
31,2,1.66,2.1,M3,11.08,1.139
82,230,1.24,7.6,M3,30.29,1.059
26,143,1.46,61.2,M1,28.91,1.296
174,193,2.23,81.5,M2,10.26,1.607
127,11,4.95,42.7,M1,22.91,1.207
151,98,1.26,3.1,M1,32.36,1.714
1,233,2.36,14.0,M4,2.33,1.072
135,10,1.75,2.6,M4,5.21,1.607
185,77,1.45,75.6,M4,4.45,1.551
126,156,0.33,30.5,M4,24.92,1.286
233,31,4.23,93.8,M1,1.95,0.105
2,35,0.62,33.0,M4,11.7,0.185
185,230,4.08,81.8,M5,49.48,1.869
222,13,1.37,78.7,M1,2.88,0.616
