src_id,dst_id,wire_cap_ff,wire_length_um
55,315,7.03,32.07
55,141,14.0,102.96
55,146,17.78,145.53
56,312,74.21,380.74
56,280,72.99,383.27
57,133,24.76,104.71
57,33,79.24,335.89
58,278,58.27,494.97
58,84,49.96,282.13
58,213,12.16,141.14
58,297,74.14,495.7
59,98,57.73,389.72
59,136,24.94,259.52
59,223,67.55,452.76
59,28,63.8,376.91
60,263,46.83,195.32
60,161,10.75,48.43
60,227,32.37,290.95
61,177,60.8,485.42
61,107,26.34,107.69
61,57,35.58,306.63
62,2,40.1,305.56
62,201,19.54,192.31
63,95,1.1,10.74
63,106,11.98,81.27
63,100,2.0,15.6
63,270,40.09,426.79
64,170,49.72,419.06
64,189,1.48,6.79
64,256,39.19,257.98
64,23,20.14,174.92
64,17,5.68,44.54
64,149,58.87,260.24
65,109,15.27,81.84
65,154,13.71,64.34
66,192,22.33,113.67
66,316,24.15,113.64
67,198,110.73,492.7
67,231,114.42,494.2
68,282,14.62,118.78
68,52,15.57,136.96
69,25,114.7,499.83
69,28,33.21,242.38
69,250,22.85,164.48
69,68,85.35,373.46
69,124,61.72,428.11
69,82,18.05,170.5
70,73,106.9,466.85
70,214,3.19,16.66
71,40,37.7,467.39
71,100,40.11,201.38
71,2,59.1,377.05
71,310,34.45,263.42
71,50,30.72,135.34
72,178,17.21,95.28
72,147,20.83,221.69
72,225,27.33,210.78
72,166,31.25,212.35
72,141,23.27,188.9
72,122,98.41,418.64
73,110,12.36,92.66
73,94,22.78,93.1
73,243,56.15,228.29
74,249,19.07,156.78
74,266,50.38,209.99
74,150,23.44,100.15
75,203,53.08,329.44
75,277,29.08,198.8
75,60,43.78,271.36
75,189,15.22,109.0
75,220,59.3,274.89
75,272,35.83,262.52
76,154,54.49,400.32
76,163,57.25,322.91
76,128,23.76,186.91
76,311,18.99,96.0
76,183,29.69,161.45
77,283,41.07,180.32
77,7,23.17,212.57
78,264,2.04,18.53
78,62,32.18,293.22
79,222,29.73,278.42
79,24,43.4,179.67
79,15,56.62,310.84
79,318,68.63,415.1
79,18,16.29,104.89
79,160,39.03,176.11
80,172,53.9,239.03
80,265,37.25,361.34
81,262,25.33,196.81
81,133,41.77,180.57
81,44,26.6,146.87
81,7,36.01,318.08
81,29,25.76,127.68
82,3,52.2,454.96
82,315,61.87,436.56
82,154,21.2,150.56
83,48,39.09,174.02
83,310,24.57,139.47
83,72,53.49,334.98
83,98,54.26,462.68
83,56,1.22,13.51
83,318,39.43,207.92
84,28,45.48,393.48
84,18,44.22,190.45
84,167,25.01,269.09
84,303,68.96,457.07
84,255,39.74,216.0
84,29,21.07,249.36
85,226,24.9,249.53
85,79,14.24,104.34
85,172,15.37,122.23
85,200,52.64,250.8
85,48,57.15,238.96
85,34,41.25,397.11
86,285,69.78,286.75
86,264,23.18,226.42
86,318,31.24,246.96
87,306,14.49,146.76
87,221,36.88,379.4
87,157,34.3,171.53
87,217,1.8,13.57
87,68,45.5,375.76
87,302,34.48,221.15
88,50,56.61,269.87
88,299,46.26,194.48
88,231,103.64,476.21
88,248,47.36,325.28
89,186,43.22,239.91
89,195,46.52,309.5
89,147,31.23,326.31
89,106,41.93,205.13
89,249,45.75,227.2
89,10,26.41,114.4
90,283,65.59,364.01
90,24,2.37,21.71
90,173,30.04,231.74
90,153,74.98,341.42
91,155,23.63,258.98
91,133,46.19,351.79
91,184,48.32,248.15
91,158,14.06,57.11
92,7,22.66,128.51
92,182,82.81,411.37
92,18,98.5,469.27
92,69,56.24,320.68
92,275,100.32,470.28
93,296,26.8,192.03
93,139,36.45,389.29
94,175,95.89,383.61
94,13,21.32,100.02
94,92,21.23,181.78
94,176,25.31,282.65
94,22,47.09,483.53
94,61,10.39,57.58
95,303,38.21,191.74
95,133,6.11,74.97
95,63,28.25,246.11
95,302,15.28,133.29
95,183,16.63,85.96
96,184,37.85,239.71
96,123,17.84,96.77
96,176,3.35,26.87
97,277,37.79,395.36
97,245,69.12,374.5
97,170,14.91,78.78
97,108,28.0,296.88
97,249,9.12,41.93
98,57,65.75,401.89
98,184,34.36,357.2
99,40,1.72,14.75
99,31,56.24,455.48
99,253,7.87,37.15
100,68,59.9,400.62
100,298,101.55,486.47
100,208,45.17,447.55
100,44,7.47,49.71
100,247,16.62,86.22
100,127,62.82,311.77
101,201,24.42,123.53
101,205,27.36,175.43
102,201,4.53,25.26
102,135,64.07,304.65
102,92,26.59,304.29
102,188,4.06,47.48
102,125,97.29,446.97
102,68,4.15,20.86
103,253,21.92,104.14
103,83,60.25,324.13
103,15,4.03,22.92
103,95,1.1,8.55
103,5,63.56,499.59
103,7,32.71,159.37
104,228,21.82,96.03
104,240,89.72,403.61
105,187,82.37,344.64
105,146,18.85,90.06
105,51,22.33,146.2
106,68,22.75,246.53
106,70,1.04,11.94
107,305,20.02,102.09
107,265,26.44,130.67
107,28,6.49,34.32
107,16,15.22,159.0
108,280,13.7,136.31
108,209,8.71,42.94
108,232,80.61,362.64
108,109,13.92,91.43
109,168,6.92,55.76
109,34,77.28,416.69
110,66,16.51,128.94
110,5,18.06,167.0
110,166,14.13,90.35
110,181,63.96,359.35
110,319,9.09,41.04
110,26,13.89,79.02
111,202,19.3,125.87
111,310,77.84,446.75
111,250,37.57,190.64
111,293,86.83,435.1
111,132,3.9,35.61
112,85,21.19,166.82
112,3,17.71,210.0
113,160,34.21,136.91
113,115,20.12,120.23
113,4,13.18,69.15
113,147,43.87,197.25
113,127,26.69,107.61
114,297,64.57,396.83
114,238,30.51,308.38
114,205,22.46,180.5
114,247,35.56,171.99
114,107,1.77,10.46
114,81,19.56,211.78
115,85,19.41,107.45
115,171,3.61,25.14
115,127,3.62,18.31
115,8,36.67,378.56
116,83,26.75,119.08
116,17,43.35,400.34
116,0,50.41,226.77
116,224,34.61,191.68
116,216,48.04,326.33
116,294,96.02,394.39
117,248,27.13,153.44
117,105,50.37,393.73
117,259,9.27,65.92
118,55,9.58,96.5
118,136,28.23,203.94
118,303,8.65,39.42
119,210,106.5,470.87
119,268,72.76,379.08
119,244,85.7,365.7
120,17,46.1,290.41
120,300,59.26,350.13
120,187,17.51,188.72
120,35,40.09,285.49
121,285,69.19,392.41
121,14,63.73,314.92
122,26,38.92,388.83
122,170,7.25,63.76
123,74,39.94,298.28
123,75,46.31,481.6
123,62,34.15,274.44
123,38,28.59,300.06
123,24,96.4,477.01
123,46,59.15,492.87
124,30,19.05,152.21
124,278,84.1,390.04
125,176,52.63,259.03
125,165,61.2,327.18
126,137,50.3,311.06
126,167,24.91,258.03
126,193,81.67,436.31
126,285,29.29,270.42
127,151,38.63,344.37
127,301,24.46,303.86
127,11,12.38,78.2
127,100,91.5,427.49
127,63,65.92,365.39
127,178,11.66,121.04
128,185,27.13,149.46
128,10,53.27,437.59
128,77,27.91,151.98
128,201,41.12,245.01
129,182,107.2,466.05
129,66,53.68,289.22
130,200,37.88,439.54
130,161,41.84,189.13
130,285,11.28,49.59
130,11,54.14,227.07
130,315,41.9,281.84
131,315,63.98,336.31
131,208,42.22,246.36
131,179,5.82,35.78
131,39,47.08,259.77
132,6,13.99,152.09
132,262,43.08,474.86
132,177,41.75,345.78
132,22,68.2,337.13
132,31,10.94,91.15
133,73,22.28,146.5
133,88,83.88,348.95
134,72,44.41,228.27
134,313,81.51,361.27
134,213,12.8,95.27
134,249,76.78,378.86
134,306,41.67,224.6
135,65,50.61,225.07
135,283,9.05,39.09
135,201,48.48,210.13
135,84,7.58,48.82
135,93,33.84,294.55
135,179,69.17,444.33
136,87,19.8,177.95
136,269,28.58,139.2
137,189,52.6,268.55
137,28,77.42,379.96
137,154,17.26,161.46
137,314,30.3,217.78
138,203,32.49,206.34
138,184,25.05,152.64
138,227,54.22,297.01
139,146,40.21,245.72
139,287,5.71,37.3
140,92,44.36,384.32
140,67,50.49,246.72
140,184,5.95,67.73
140,91,55.23,309.3
140,281,16.93,109.41
140,68,15.74,161.92
141,240,45.86,226.19
141,9,16.92,141.25
141,263,47.92,412.9
141,85,63.38,287.47
141,16,24.0,157.05
142,84,7.17,42.4
142,70,47.86,434.95
142,190,83.4,337.46
142,195,2.74,21.07
142,285,1.32,12.42
143,177,75.5,328.19
143,118,26.42,157.23
144,161,29.67,183.47
144,58,34.13,137.03
144,224,61.15,280.5
145,316,74.74,318.63
145,279,54.16,399.75
145,16,63.57,439.27
146,223,81.41,427.4
146,18,63.97,362.96
146,299,40.41,422.97
146,19,68.9,361.67
146,275,15.18,153.12
147,305,20.61,169.79
147,297,25.44,139.93
147,250,1.49,13.68
147,66,35.21,301.34
147,277,14.25,136.46
147,227,53.31,298.95
148,152,72.11,382.6
148,70,11.91,52.79
148,79,86.54,362.18
148,199,81.24,439.08
148,82,21.97,90.33
148,139,71.88,470.86
149,104,97.58,483.69
149,144,37.87,433.15
149,55,66.38,302.91
149,34,13.77,108.24
149,197,46.06,348.17
149,165,9.85,83.15
150,313,10.26,50.05
150,24,112.19,453.23
150,35,44.89,273.61
150,187,35.33,325.61
151,242,1.43,6.43
151,95,17.76,214.06
152,163,23.05,231.01
152,258,22.85,207.96
152,69,102.11,417.05
152,151,64.04,421.04
153,234,19.05,137.56
153,262,69.93,366.65
153,173,6.56,67.82
153,61,17.13,89.58
153,104,89.41,387.34
153,222,12.69,62.53
154,82,77.81,375.74
154,75,59.34,321.44
155,100,74.15,350.99
155,305,20.55,231.99
156,270,14.27,72.73
156,273,46.18,300.6
156,140,58.07,287.78
156,185,8.37,53.1
157,209,19.53,108.0
157,84,41.98,387.74
158,112,44.9,494.88
158,98,7.6,80.1
158,53,6.47,33.04
158,97,66.15,348.73
158,270,19.56,237.78
159,253,17.5,76.28
159,116,2.38,18.31
159,267,20.93,247.73
159,150,57.21,323.93
159,121,49.22,354.12
159,191,6.64,32.12
160,272,44.67,296.18
160,20,47.68,384.95
160,209,41.85,467.68
160,4,45.71,207.37
160,70,60.44,269.78
160,122,59.86,258.52
161,230,18.52,190.37
161,185,26.82,305.28
161,154,30.41,166.05
161,62,78.45,428.25
162,317,51.42,449.72
162,114,49.14,224.13
162,86,15.28,184.22
162,260,53.25,314.54
162,94,24.23,162.6
163,128,17.54,188.9
163,124,101.4,407.03
163,175,36.14,211.24
163,92,53.99,331.49
163,174,47.57,368.16
163,287,14.78,63.21
164,214,110.62,459.27
164,118,13.99,80.56
164,282,101.17,499.71
164,146,70.22,355.28
165,183,15.37,114.98
165,260,6.5,30.55
166,0,83.04,392.2
166,143,4.96,21.7
166,79,53.74,417.05
166,248,83.51,359.91
166,116,88.53,415.97
167,82,63.34,349.71
167,64,63.65,348.87
167,290,6.46,46.08
167,258,37.67,160.48
167,262,2.87,34.94
168,112,64.85,330.59
168,117,42.23,317.46
168,271,57.82,296.93
168,59,32.71,254.84
168,75,86.88,423.15
168,295,65.46,321.45
169,239,5.09,29.68
169,7,16.42,130.66
170,51,8.9,35.95
170,131,17.27,82.79
170,87,1.47,8.74
170,105,11.91,53.94
170,140,99.94,408.11
171,147,42.63,273.03
171,273,41.68,253.7
172,156,9.65,51.68
172,13,47.61,322.24
172,96,64.12,370.81
173,257,17.32,126.27
173,92,69.14,448.35
173,47,7.78,69.93
173,164,45.19,460.89
173,143,11.85,76.27
173,63,2.52,21.93
174,315,47.61,190.75
174,54,39.97,210.38
175,223,33.75,197.96
175,295,43.55,383.49
175,257,74.14,489.69
175,38,31.32,179.54
175,314,87.16,426.11
175,278,41.16,270.18
176,154,28.08,117.97
176,43,29.71,152.11
176,124,50.49,237.47
176,146,79.48,466.39
176,64,47.14,195.81
177,113,8.62,103.7
177,143,22.82,283.7
177,157,40.12,245.17
177,114,74.57,431.39
178,76,60.46,250.2
178,101,49.87,372.43
178,71,3.88,17.81
178,14,9.26,55.12
178,92,15.41,184.39
178,164,16.37,186.6
179,2,62.7,352.61
179,174,47.94,431.71
179,89,38.83,279.31
179,301,44.39,248.65
179,279,27.97,160.26
179,97,13.87,56.29
180,79,1.54,8.56
180,184,35.51,345.61
180,241,7.35,44.73
180,162,31.41,340.24
181,76,104.11,461.87
181,5,30.56,207.32
181,231,2.35,19.8
181,237,29.95,326.48
182,261,53.83,335.94
182,59,74.1,406.19
182,17,46.58,228.91
182,36,16.97,179.51
183,156,31.05,335.79
183,83,78.14,456.79
184,258,106.97,437.66
184,223,30.36,327.34
185,209,5.85,61.71
185,147,12.12,130.6
185,30,94.66,448.94
185,86,69.5,378.09
185,158,4.65,46.61
185,133,63.03,257.0
186,149,116.57,495.97
186,20,38.04,275.28
187,303,42.13,191.89
187,59,93.92,489.95
187,308,24.6,200.69
188,35,56.09,238.92
188,149,30.92,340.24
188,102,105.54,478.68
188,112,42.35,177.42
189,299,17.22,81.1
189,119,55.04,355.15
189,212,10.7,65.08
190,299,25.21,274.08
190,157,14.16,130.32
190,251,37.39,249.95
191,86,37.69,344.35
191,142,3.36,40.54
192,235,64.33,447.51
192,199,32.59,404.84
192,28,16.76,172.55
193,34,37.67,247.19
193,316,30.66,122.7
193,169,24.32,180.48
193,249,52.61,420.32
193,47,93.55,381.04
193,146,18.05,126.41
194,98,18.18,76.09
194,92,3.12,22.85
195,204,63.45,430.15
195,136,49.51,276.49
195,100,21.22,255.39
196,279,28.39,286.92
196,66,53.25,388.46
197,241,45.9,437.02
197,255,2.83,20.52
197,111,14.76,149.77
197,280,38.08,218.43
197,246,52.81,262.75
197,307,113.39,461.82
198,115,52.49,290.92
198,191,73.74,475.62
198,11,63.87,482.59
198,226,37.51,198.79
199,257,26.81,142.74
199,30,68.4,405.86
199,80,59.58,262.3
199,183,16.24,88.9
199,137,65.4,364.44
200,215,45.77,244.77
200,135,44.29,268.83
200,76,40.95,291.43
200,82,10.58,81.78
200,73,64.5,316.03
200,196,41.49,426.39
201,35,17.63,102.77
201,250,28.41,156.01
201,78,51.87,322.86
201,171,16.69,145.68
202,83,66.3,280.75
202,237,52.21,235.92
203,212,96.16,401.7
203,21,41.43,233.82
203,23,36.04,325.54
203,285,9.53,98.34
203,150,4.9,45.28
204,315,37.64,372.73
204,143,20.19,171.15
204,108,35.62,171.83
204,225,52.71,222.53
205,185,65.57,435.51
205,50,9.25,49.29
205,90,35.16,175.36
205,153,70.14,461.27
205,304,12.06,61.34
205,123,25.27,185.74
206,178,10.35,46.59
206,278,2.51,14.62
206,64,28.49,165.79
206,230,73.6,465.03
206,134,24.91,281.61
206,107,75.03,429.2
207,9,37.27,226.22
207,70,22.27,115.83
208,59,4.33,41.19
208,96,35.23,280.18
208,199,38.79,217.18
208,175,39.71,299.06
208,184,45.47,285.3
208,79,95.47,470.53
209,172,69.93,342.6
209,40,24.2,141.91
210,252,1.72,13.39
210,267,7.25,52.53
210,108,18.67,223.01
210,133,89.54,366.35
211,202,34.44,144.8
211,117,87.94,417.78
212,11,37.61,151.43
212,58,34.05,365.65
212,61,26.18,160.97
212,261,64.15,388.23
212,115,29.67,310.6
212,187,2.93,23.14
213,47,45.45,276.75
213,119,38.56,199.79
214,171,32.18,220.24
214,119,74.25,483.47
214,166,118.11,482.21
214,291,68.65,325.11
215,285,104.86,429.77
215,175,14.72,62.54
215,72,43.85,305.32
215,120,0.94,5.57
215,197,79.71,422.38
215,290,43.69,479.38
216,204,63.08,375.87
216,47,18.83,165.59
216,149,37.07,250.28
216,246,22.63,212.75
216,305,22.21,159.67
216,124,5.99,44.81
217,314,22.6,103.27
217,264,19.67,107.0
217,185,10.02,52.55
217,197,88.19,442.43
217,38,27.4,267.02
217,273,43.94,249.48
218,119,18.34,141.28
218,77,50.39,205.85
218,84,1.72,16.46
218,234,104.75,486.4
218,38,24.58,126.82
218,85,27.8,331.65
219,39,35.73,161.69
219,205,9.15,42.74
219,48,18.4,200.75
219,113,47.53,195.36
220,37,16.64,85.6
220,155,76.33,407.69
220,310,66.85,387.05
220,154,85.44,475.72
220,168,55.14,228.93
221,312,56.48,366.63
221,317,15.02,179.47
221,289,45.96,457.14
221,273,17.34,102.08
221,315,35.13,291.22
222,199,25.31,257.35
222,218,76.99,351.67
223,146,14.68,110.37
223,149,10.26,65.94
223,313,42.78,236.93
224,55,74.76,476.68
224,271,50.79,213.38
225,16,16.63,175.19
225,5,57.59,349.53
225,117,58.91,452.92
225,251,17.7,191.64
225,211,52.81,347.27
226,241,12.41,110.81
226,18,88.34,427.88
226,223,89.53,399.32
226,187,60.2,382.85
226,100,12.93,150.84
226,260,63.37,359.26
227,89,17.92,178.64
227,214,14.69,173.36
228,16,11.74,97.29
228,157,49.64,367.32
228,264,27.57,321.14
228,251,26.98,162.74
228,33,4.65,22.78
228,240,75.07,349.03
229,265,10.06,75.16
229,315,63.2,337.78
229,180,26.09,198.8
229,249,35.7,299.86
229,199,9.19,66.14
229,62,37.32,312.04
230,315,23.34,272.62
230,313,53.24,375.24
230,280,38.76,320.71
230,317,58.98,294.26
231,161,19.91,236.09
231,313,10.03,42.07
231,177,29.28,175.73
231,80,103.28,433.06
231,55,12.69,78.41
232,278,31.13,264.47
232,296,6.02,28.35
232,34,41.6,288.86
232,207,15.02,163.49
233,70,39.25,331.5
233,188,20.48,110.54
233,184,21.89,131.71
233,213,8.06,58.01
234,275,28.88,138.28
234,276,54.15,308.82
234,54,5.52,63.98
234,26,9.85,72.11
234,107,4.53,41.83
235,158,54.42,418.02
235,60,65.86,309.38
235,185,35.44,252.82
235,285,38.86,162.55
236,188,24.31,223.15
236,111,15.7,83.75
236,132,93.07,481.86
237,124,21.75,99.74
237,166,82.67,351.77
237,20,37.69,202.96
237,207,20.59,137.98
237,183,9.29,44.72
237,131,14.42,90.2
238,246,66.3,387.32
238,239,79.01,463.44
238,114,61.01,428.07
238,210,65.49,438.97
238,304,7.43,37.35
239,83,39.75,430.62
239,52,7.82,83.47
239,56,9.19,49.34
239,300,63.2,471.62
240,285,32.24,286.41
240,40,25.66,125.67
241,121,19.42,107.12
241,45,7.07,29.36
241,67,62.98,277.25
241,319,11.68,88.25
242,77,28.02,291.58
242,138,17.84,88.26
243,22,4.64,26.51
243,290,15.94,98.69
243,30,61.98,381.46
243,75,70.74,286.51
244,90,2.24,23.59
244,91,71.81,324.18
245,208,3.09,34.52
245,255,8.34,35.01
245,63,46.38,301.77
246,129,66.2,361.41
246,231,12.11,56.3
247,222,66.43,289.87
247,51,51.23,416.43
247,266,72.04,294.12
247,38,20.48,230.76
247,83,54.95,388.2
247,300,14.37,72.96
248,116,79.8,328.95
248,256,55.97,338.19
248,258,71.3,433.62
248,161,68.4,283.37
249,147,21.41,112.53
249,287,57.5,491.11
249,161,2.97,23.66
249,122,1.45,8.4
249,20,34.83,153.21
249,265,8.15,32.96
250,22,110.72,445.11
250,189,16.93,159.92
250,111,49.13,349.31
250,222,43.2,220.91
251,291,53.7,413.88
251,8,73.14,458.51
251,229,38.71,231.33
251,184,72.78,496.31
251,27,36.46,248.44
252,15,39.65,182.72
252,13,13.47,130.7
252,141,41.91,490.97
252,269,11.46,68.33
252,194,99.46,465.08
252,35,53.66,448.63
253,126,22.54,143.65
253,68,30.85,293.03
253,94,110.81,463.7
253,175,58.51,277.83
253,228,46.09,187.5
254,292,68.39,445.18
254,115,23.29,196.02
254,242,40.98,355.88
254,248,65.34,373.84
255,128,83.81,498.85
255,218,11.87,103.68
255,309,4.63,28.44
256,158,17.61,88.56
256,82,15.77,150.9
256,23,43.15,191.72
257,158,12.15,63.07
257,228,48.41,216.68
257,149,50.87,350.01
258,50,25.18,153.3
258,297,31.44,258.23
258,171,14.54,165.73
259,88,67.55,430.29
259,164,62.38,490.61
259,131,79.56,392.66
259,268,50.53,349.28
259,293,38.63,283.57
260,29,43.69,435.52
260,12,29.29,238.25
261,283,8.93,43.41
261,150,18.08,186.38
261,99,34.23,288.26
261,116,56.97,409.03
262,114,3.12,34.34
262,250,71.17,291.59
263,126,54.39,337.93
263,144,81.5,443.98
263,41,48.81,219.41
263,155,14.68,85.83
263,37,26.07,217.72
263,110,33.55,349.41
264,53,10.62,69.41
264,75,9.31,83.85
264,130,36.41,373.46
264,49,116.72,467.32
264,126,50.24,407.91
264,161,45.56,267.65
265,242,15.59,111.66
265,190,43.83,198.78
265,34,50.57,274.13
265,292,93.56,399.02
266,90,11.64,70.46
266,54,87.22,433.65
266,202,83.07,476.07
266,283,95.74,407.95
267,242,66.62,277.62
267,27,37.48,344.89
267,308,69.77,283.39
267,296,30.7,182.51
268,312,37.92,309.71
268,129,29.85,180.24
268,15,12.93,133.76
268,293,48.53,404.1
268,144,36.67,262.2
268,116,78.57,367.61
269,35,31.17,373.62
269,308,55.16,480.71
269,209,15.71,70.1
269,274,27.4,322.18
269,147,17.64,93.43
270,120,48.23,491.06
270,1,44.81,207.51
270,117,24.02,132.46
270,192,6.26,33.01
270,185,25.12,140.96
270,59,44.78,193.2
271,18,69.84,386.05
271,61,58.3,235.44
272,223,46.75,337.16
272,153,31.49,329.9
272,220,101.98,425.48
273,297,1.65,8.87
273,10,69.21,297.44
273,37,96.49,470.81
273,38,73.61,354.26
273,252,35.66,189.62
273,71,12.86,153.94
274,316,72.86,311.19
274,98,48.01,234.99
274,206,21.08,115.59
275,242,40.84,391.82
275,150,6.61,48.04
275,217,36.11,167.73
275,6,46.04,239.11
275,318,19.89,140.62
276,48,17.49,105.48
276,246,14.68,94.15
276,12,21.97,171.38
276,236,68.4,373.44
276,253,39.21,168.14
277,188,64.53,382.88
277,263,18.74,92.02
277,35,31.56,163.13
277,131,103.82,479.68
278,241,113.5,470.49
278,318,80.79,448.57
279,276,1.78,20.02
279,272,56.98,254.36
279,299,34.91,261.28
279,308,19.23,105.26
279,219,44.99,486.26
279,139,52.04,376.79
280,75,24.91,238.36
280,174,6.87,38.75
281,58,3.9,33.61
281,199,94.69,467.0
282,69,52.52,329.6
282,272,0.87,8.33
282,198,9.83,75.44
282,257,19.53,106.27
283,142,23.12,98.26
283,54,49.46,233.4
284,224,15.05,129.95
284,202,18.38,160.26
284,128,21.22,120.69
284,289,11.36,135.6
285,218,43.75,264.21
285,301,24.86,208.79
285,201,43.79,192.75
286,173,8.41,52.3
286,145,6.38,56.38
286,199,29.96,318.4
287,317,68.95,457.64
287,307,41.75,289.14
288,251,27.45,135.52
288,16,53.31,304.45
288,109,56.1,324.04
289,135,6.56,35.01
289,242,67.41,490.47
289,116,50.47,307.28
290,212,4.43,51.24
290,29,48.29,300.05
291,20,77.59,324.66
291,223,43.9,299.59
292,37,37.57,156.94
292,258,58.41,465.52
292,179,28.71,181.17
